OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=2 active=2
[STRIDED_GEMM] N=8192 threads=4 rep=4 batches=1 time=2.321 s | package=297.198 J | dram=NA | total=297.198 J | power=128.0 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=5 batches=1 time=2.310 s | package=296.544 J | dram=NA | total=296.544 J | power=128.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=6 batches=1 time=2.317 s | package=296.820 J | dram=NA | total=296.820 J | power=128.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=7 batches=1 time=2.309 s | package=296.440 J | dram=NA | total=296.440 J | power=128.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=8 batches=1 time=2.317 s | package=296.983 J | dram=NA | total=296.983 J | power=128.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=9 batches=1 time=2.317 s | package=297.415 J | dram=NA | total=297.415 J | power=128.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=10 batches=1 time=2.408 s | package=289.258 J | dram=NA | total=289.258 J | power=120.1 W | runtime=above | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=128 threads=8 rep=1 batches=54758 time=0.975 s | package=115.887 J | dram=NA | total=115.887 J | power=118.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=2 batches=54758 time=0.983 s | package=116.614 J | dram=NA | total=116.614 J | power=118.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=3 batches=54758 time=0.979 s | package=116.100 J | dram=NA | total=116.100 J | power=118.6 W | runtime=in_range | checksum=OK
