OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=2048 threads=4 rep=4 batches=27 time=1.023 s | package=129.396 J | dram=NA | total=129.396 J | power=126.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=5 batches=27 time=1.015 s | package=128.880 J | dram=NA | total=128.880 J | power=127.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=6 batches=27 time=1.020 s | package=129.099 J | dram=NA | total=129.099 J | power=126.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=7 batches=27 time=1.015 s | package=128.855 J | dram=NA | total=128.855 J | power=127.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=8 batches=27 time=1.016 s | package=129.039 J | dram=NA | total=129.039 J | power=127.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=9 batches=27 time=1.025 s | package=130.584 J | dram=NA | total=130.584 J | power=127.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=10 batches=27 time=1.023 s | package=130.529 J | dram=NA | total=130.529 J | power=127.6 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=32 active=32
[STRIDED_GEMM] N=1024 threads=32 rep=1 batches=560 time=1.002 s | package=272.052 J | dram=NA | total=272.052 J | power=271.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=2 batches=560 time=1.002 s | package=272.495 J | dram=NA | total=272.495 J | power=271.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=3 batches=560 time=1.004 s | package=272.345 J | dram=NA | total=272.345 J | power=271.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=4 batches=560 time=1.003 s | package=272.364 J | dram=NA | total=272.364 J | power=271.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=5 batches=560 time=1.003 s | package=272.514 J | dram=NA | total=272.514 J | power=271.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=32 rep=6 batches=560 time=1.003 s | package=272.579 J | dram=NA | total=272.579 J | power=271.8 W | runtime=in_range | checksum=OK
