OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY SkylakeX MAX_THREADS=128
STRIDED_GEMM(ld=2N) | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | session=strided_gemm_intel_20260719_175326_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=512 threads=4 rep=5 batches=2379 time=1.023 s | package=105.411 J | dram=0.000000 | total=105.411 J | power=103.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=6 batches=2379 time=1.003 s | package=108.475 J | dram=0.000000 | total=108.475 J | power=108.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=7 batches=2379 time=1.002 s | package=108.401 J | dram=0.000000 | total=108.401 J | power=108.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=8 batches=2379 time=1.002 s | package=108.229 J | dram=0.000000 | total=108.229 J | power=108.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=9 batches=2379 time=1.003 s | package=108.196 J | dram=0.000000 | total=108.196 J | power=107.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=10 batches=2379 time=1.002 s | package=108.376 J | dram=0.000000 | total=108.376 J | power=108.1 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=512 threads=16 rep=1 batches=3972 time=1.004 s | package=155.805 J | dram=0.000000 | total=155.805 J | power=155.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=2 batches=3972 time=1.004 s | package=155.984 J | dram=0.000000 | total=155.984 J | power=155.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=3 batches=3972 time=1.004 s | package=156.179 J | dram=0.000000 | total=156.179 J | power=155.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=4 batches=3972 time=1.004 s | package=156.251 J | dram=0.000000 | total=156.251 J | power=155.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=5 batches=3972 time=1.005 s | package=156.332 J | dram=0.000000 | total=156.332 J | power=155.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=6 batches=3972 time=1.005 s | package=156.467 J | dram=0.000000 | total=156.467 J | power=155.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=7 batches=3972 time=1.005 s | package=156.600 J | dram=0.000000 | total=156.600 J | power=155.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=8 batches=3972 time=1.005 s | package=156.754 J | dram=0.000000 | total=156.754 J | power=156.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=9 batches=3972 time=1.005 s | package=156.800 J | dram=0.000000 | total=156.800 J | power=156.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=10 batches=3972 time=1.005 s | package=156.951 J | dram=0.000000 | total=156.951 J | power=156.2 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=128 threads=8 rep=1 batches=79374 time=1.014 s | package=113.046 J | dram=0.000000 | total=113.046 J | power=111.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=2 batches=79374 time=1.020 s | package=113.528 J | dram=0.000000 | total=113.528 J | power=111.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=3 batches=79374 time=1.010 s | package=112.749 J | dram=0.000000 | total=112.749 J | power=111.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=4 batches=79374 time=1.003 s | package=112.163 J | dram=0.000000 | total=112.163 J | power=111.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=5 batches=79374 time=1.016 s | package=113.143 J | dram=0.000000 | total=113.143 J | power=111.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=6 batches=79374 time=1.048 s | package=115.823 J | dram=0.000000 | total=115.823 J | power=110.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=7 batches=79374 time=1.010 s | package=112.587 J | dram=0.000000 | total=112.587 J | power=111.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=8 batches=79374 time=1.018 s | package=113.479 J | dram=0.000000 | total=113.479 J | power=111.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=9 batches=79374 time=1.059 s | package=116.999 J | dram=0.000000 | total=116.999 J | power=110.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=128 threads=8 rep=10 batches=79374 time=1.022 s | package=114.044 J | dram=0.000000 | total=114.044 J | power=111.6 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=256 threads=8 rep=1 batches=26729 time=1.015 s | package=139.644 J | dram=0.000000 | total=139.644 J | power=137.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=2 batches=26729 time=1.026 s | package=140.514 J | dram=0.000000 | total=140.514 J | power=137.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=3 batches=26729 time=0.999 s | package=138.342 J | dram=0.000000 | total=138.342 J | power=138.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=4 batches=26729 time=1.006 s | package=138.974 J | dram=0.000000 | total=138.974 J | power=138.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=5 batches=26729 time=1.001 s | package=138.605 J | dram=0.000000 | total=138.605 J | power=138.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=6 batches=26729 time=1.009 s | package=139.229 J | dram=0.000000 | total=139.229 J | power=137.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=7 batches=26729 time=1.008 s | package=139.168 J | dram=0.000000 | total=139.168 J | power=138.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=8 batches=26729 time=1.015 s | package=139.933 J | dram=0.000000 | total=139.933 J | power=137.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=9 batches=26729 time=1.018 s | package=140.339 J | dram=0.000000 | total=140.339 J | power=137.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=256 threads=8 rep=10 batches=26729 time=1.020 s | package=140.345 J | dram=0.000000 | total=140.345 J | power=137.6 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=1024 threads=4 rep=1 batches=329 time=1.002 s | package=114.741 J | dram=0.013265 | total=114.755 J | power=114.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=2 batches=329 time=1.002 s | package=114.728 J | dram=0.012653 | total=114.741 J | power=114.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=3 batches=329 time=1.003 s | package=114.764 J | dram=0.010694 | total=114.775 J | power=114.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=4 batches=329 time=1.003 s | package=114.207 J | dram=0.013908 | total=114.221 J | power=113.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=5 batches=329 time=1.002 s | package=114.049 J | dram=0.015453 | total=114.065 J | power=113.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=6 batches=329 time=1.003 s | package=114.141 J | dram=0.012347 | total=114.154 J | power=113.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=7 batches=329 time=1.003 s | package=114.561 J | dram=0.012363 | total=114.573 J | power=114.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=8 batches=329 time=1.002 s | package=114.365 J | dram=0.011276 | total=114.376 J | power=114.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=9 batches=329 time=1.004 s | package=114.058 J | dram=0.015805 | total=114.074 J | power=113.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=4 rep=10 batches=329 time=1.002 s | package=114.533 J | dram=0.013923 | total=114.547 J | power=114.3 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=2 active=2
