source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
reduction_amd_20260722_174206_session2.csv,2,535,8000000,10T,10,5,9.309687414563018e-05,0.013177667000820197,t,True,False
reduction_amd_20260722_174206_session2.csv,2,160,8000000,16T,16,10,7.470570016960401e-05,0.012527161123810929,t,False,True
reduction_amd_20260722_174206_session2.csv,2,502,8000000,1T,1,2,0.0017079474576271187,0.12251082711864408,t,False,True
reduction_amd_20260722_174206_session2.csv,2,681,8000000,32T,32,1,7.321574791636203e-05,0.014478232270799826,t,True,True
reduction_amd_20260722_174206_session2.csv,2,482,8000000,4T,4,2,0.0001948379780895637,0.019257393619065925,t,True,False
reduction_amd_20260722_174206_session2.csv,2,131,16000000,1T,1,1,0.0034182457337883962,0.23015594197952222,t,False,True
reduction_amd_20260722_174206_session2.csv,2,309,16000000,20T,20,9,0.00012445961002785516,0.02345989293932421,t,False,True
reduction_amd_20260722_174206_session2.csv,2,741,16000000,32T,32,1,9.685487922705315e-05,0.02226563526570048,t,False,True
reduction_amd_20260722_174206_session2.csv,2,471,16000000,64T,64,1,0.00013347216330858962,0.028504203207847297,t,True,True
reduction_amd_20260722_174206_session2.csv,2,730,16000000,8T,8,10,0.00020007182650218862,0.026409879625945085,t,False,True
reduction_amd_20260722_174206_session2.csv,2,551,32000000,16T,16,1,0.0006651383898868929,0.0934234750499002,t,False,True
reduction_amd_20260722_174206_session2.csv,2,641,32000000,1T,1,1,0.00682034693877551,0.49165417687074825,t,True,False
reduction_amd_20260722_174206_session2.csv,2,11,32000000,64T,64,1,0.000454296867907399,0.08650468724466637,t,True,True
reduction_amd_20260722_174206_session2.csv,2,13,32000000,64T,64,3,0.00045369087607807535,0.08681047753064004,t,True,True
reduction_amd_20260722_174206_session2.csv,2,15,32000000,64T,64,5,0.0004569795733091239,0.08778802178847027,t,True,False
reduction_amd_20260722_174206_session2.csv,2,461,64000000,10T,10,1,0.004460951111111111,0.5010434222222222,t,False,True
reduction_amd_20260722_174206_session2.csv,2,391,64000000,16T,16,1,0.004475535714285715,0.5275422857142857,t,False,True
reduction_amd_20260722_174206_session2.csv,2,392,64000000,16T,16,2,0.004480816964285714,0.5292339464285715,t,False,True
reduction_amd_20260722_174206_session2.csv,2,231,64000000,20T,20,1,0.004920249999999999,0.5688481617647059,t,False,True
reduction_amd_20260722_174206_session2.csv,2,161,64000000,2T,2,1,0.007917370078740157,0.6281239212598425,t,True,False
reduction_amd_20260722_174206_session2.csv,2,164,64000000,2T,2,4,0.007915094488188976,0.6254309448818898,t,True,False
reduction_amd_20260722_174206_session2.csv,2,181,64000000,32T,32,1,0.004526202702702703,0.6472976936936937,t,True,True
reduction_amd_20260722_174206_session2.csv,2,411,64000000,64T,64,1,0.0047366792452830184,0.7459086320754718,t,True,False
