session_number,problem_size,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,total_energy_per_op_j,package_energy_per_op_j,dram_energy_per_op_j,total_avg_power_w,package_avg_power_w,dram_avg_power_w,edp_total_j_s,edp_package_j_s,throughput_gflops_exact,total_efficiency_gflop_per_j,package_efficiency_gflop_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches
1,4096,16,0.08358557692307692,0.08358557692307692,23.638805076923077,23.638805076923077,,282.7627338217418,282.7627338217418,,1.974913903624704,1.974913903624704,1644.2903703483519,5.814125204999854,5.814125204999854,87.0,2333.0,2327.5,-0.19292145876267058,13.0
1,4096,20,0.07933519230769231,0.07933519230769231,22.602220000000003,22.602220000000003,,284.805279501417,284.805279501417,,1.793151486338953,1.793151486338953,1732.3832209719799,6.080772334508497,6.080772334508497,81.5,2517.5,2476.0,-1.726027578459342,13.0
1,4096,32,0.05265112499999999,0.05265112499999999,15.108609675,15.108609675,,287.0209343098719,287.0209343098719,,0.795485295817425,0.795485295817425,2610.370690448318,9.09673072450645,9.09673072450645,72.5,2828.5,2729.0,-3.503136382031566,20.0
1,4096,64,0.05453028947368421,0.05453028947368421,13.589177105263158,13.589177105263158,,249.03605014839263,249.03605014839263,,0.7408042726817797,0.7408042726817797,2520.4152057580623,10.113854102430487,10.113854102430487,75.0,3565.5,3547.0,-0.46253144287703074,19.0
1,8192,1,8.5767575,8.5767575,658.0005255000001,658.0005255000001,,76.72868226451855,76.72868226451855,,5643.2355504050065,5643.2355504050065,128.19665569020123,1.670989007245384,1.670989007245384,73.0,1825.5,1795.0,-0.8493000645170969,1.0
1,8192,2,4.3842795,4.3842795,425.02320199999997,425.02320199999997,,96.95744775856994,96.95744775856994,,1863.4203829327225,1863.4203829327225,250.78502916281957,2.5869453469827937,2.5869453469827937,79.5,1869.0,1834.0,-1.0713554690687046,1.0
1,8192,4,2.358498,2.358498,302.4895755,302.4895755,,128.26777446922043,128.26777446922043,,713.7576302168475,713.7576302168475,466.1914612514368,3.634874455981164,3.634874455981164,89.5,1941.0,1903.0,-1.9067251974484405,1.0
1,8192,8,1.1802044999999999,1.1802044999999999,223.906817,223.906817,,189.68397872798732,189.68397872798732,,264.19230728518346,264.19230728518346,931.6280660753071,4.910576864606414,4.910576864606414,87.0,2084.5,2048.5,-1.0310945874173145,1.0
1,8192,10,1.0258425,1.0258425,217.7836135,217.7836135,,212.29940786176405,212.29940786176405,,223.31700076916297,223.31700076916297,1071.8134013314889,5.0486426012407755,5.0486426012407755,87.0,2131.0,2112.0,-0.11670871294327609,1.0
1,8192,16,0.6442875,0.6442875,181.8117075,181.8117075,,282.2348560134223,282.2348560134223,,117.13116296874938,117.13116296874938,1706.55467150998,6.047532571183018,6.047532571183018,92.0,2354.5,2325.5,-1.4216409242421786,2.0
1,8192,20,0.56461325,0.56461325,159.93814,159.93814,,283.34754381842424,283.34754381842424,,90.27858094224399,90.27858094224399,1947.3713529858505,6.874606884688015,6.874606884688015,86.0,2478.0,2476.0,-0.20128853931670831,2.0
1,8192,32,0.4669395,0.4669395,132.91681699999998,132.91681699999998,,284.55481412786713,284.55481412786713,,62.05822878633175,62.05822878633175,2354.7198167844363,8.272178493776508,8.272178493776508,83.5,2892.5,2805.5,-2.373097893128538,2.0
1,8192,64,0.4836096666666666,0.4836096666666666,117.16592016666667,117.16592016666667,,242.2031181247949,242.2031181247949,,56.618184423175,56.618184423175,2273.551818917231,9.38422938449307,9.38422938449307,70.0,3682.5,3672.0,-0.3250063459093476,3.0
1,16384,1,73.207739,73.207739,5633.6098975,5633.6098975,,76.97228193533067,76.97228193533067,,412325.0975467674,412325.0975467674,120.15260508796258,1.5613622317526152,1.5613622317526152,70.0,1825.0,1795.0,-0.02736726874657909,1.0
1,16384,2,37.145598500000006,37.145598500000006,3566.970305,3566.970305,,96.02418551085452,96.02418551085452,,132479.10453831346,132479.10453831346,236.80041187011005,2.465984370923115,2.465984370923115,75.0,1874.5,1834.0,-1.8716541583572006,1.0
1,16384,4,19.782249999999998,19.782249999999998,2473.7871535,2473.7871535,,125.05552230342032,125.05552230342032,,48951.896217106056,48951.896217106056,444.64576618353976,3.555719507760804,3.555719507760804,84.0,1868.0,1868.0,0.0,1.0
1,16384,8,9.953508,9.953508,1847.2161855,1847.2161855,,185.48529010593666,185.48529010593666,,18386.28042828392,18386.28042828392,883.717979602679,4.76181033536285,4.76181033536285,88.5,2083.0,2046.5,-1.6573019334559764,1.0
1,16384,10,8.471200499999998,8.471200499999998,1772.9905549999999,1772.9905549999999,,209.4247673773055,209.4247673773055,,15024.116564413998,15024.116564413998,1038.3561546035585,4.961165297521465,4.961165297521465,89.0,1986.5,1969.0,-0.1744765702891326,1.0
1,16384,16,5.2828205,5.2828205,1495.0712275,1495.0712275,,282.3228540497672,282.3228540497672,,7884.740480278755,7884.740480278755,1665.037289774793,5.8833987695047565,5.8833987695047565,92.0,2122.5,2153.5,-0.8802316324209568,1.0
1,16384,20,4.508118,4.508118,1283.303591,1283.303591,,284.6823482416992,284.6823482416992,,5785.284023029147,5785.284023029147,1951.167446377562,6.8542573127619155,6.8542573127619155,85.0,2470.0,2469.0,-0.719654423594964,1.0
1,16384,32,3.6334020000000002,3.6334020000000002,1036.3885650000002,1036.3885650000002,,285.24042653119636,285.24042653119636,,3765.616485682491,3765.616485682491,2420.8974039010754,8.487254502511284,8.487254502511284,78.0,2965.5,2920.5,-1.1623238405947431,1.0
1,16384,64,3.6929420000000004,3.6929420000000004,934.1156484999999,934.1156484999999,,253.50870059295903,253.50870059295903,,3448.7603046915583,3448.7603046915583,2381.9113710910797,9.41651063442893,9.41651063442893,80.0,3756.0,3749.0,0.051332853780082566,1.0
2,64,1,6.139803670298542e-06,6.139803670298542e-06,0.00044015779340621605,0.00044015779340621605,,71.67901659671682,71.67901659671682,,2.7026876251165435e-09,2.7026876251165435e-09,85.39165576335722,1.1911365318327853,1.1911365318327853,69.0,1823.0,1795.0,-0.7683772190776846,163093.0
2,64,2,6.136363078847793e-06,6.136363078847793e-06,0.0004377230024346717,0.0004377230024346717,,71.33121695925894,71.33121695925894,,2.686171230696177e-09,2.686171230696177e-09,85.43953373168816,1.1977621667742695,1.1977621667742695,68.0,1823.0,1795.0,-0.7679648930334614,163061.0
2,64,4,6.18479918185199e-06,6.18479918185199e-06,0.0004479153557704227,0.0004479153557704227,,72.35788540690498,72.35788540690498,,2.770350004727821e-09,2.770350004727821e-09,84.77042376500549,1.170507387897558,1.170507387897558,74.0,1795.0,1795.0,0.0,161340.0
2,64,8,6.13427514130188e-06,6.13427514130188e-06,0.0004390853733376701,0.0004390853733376701,,71.57092028914343,71.57092028914343,,2.6926118833542525e-09,2.6926118833542525e-09,85.46861505282703,1.1940456955280103,1.1940456955280103,69.0,1795.5,1795.0,0.0,162949.0
2,64,10,6.136619588578447e-06,6.136619588578447e-06,0.0004392478814860301,0.0004392478814860301,,71.59433032460257,71.59433032460257,,2.6948031883789756e-09,2.6948031883789756e-09,85.43596312609637,1.1936039462018044,1.1936039462018044,70.0,1795.0,1795.0,0.0,162850.0
2,64,16,6.16857965794359e-06,6.16857965794359e-06,0.0004466886614406335,0.0004466886614406335,,72.37667120611857,72.37667120611857,,2.7560592340621167e-09,2.7560592340621167e-09,84.99330979890968,1.1737213354007026,1.1737213354007026,73.0,1795.0,1795.0,0.0,162137.0
2,64,20,6.153352120666477e-06,6.153352120666477e-06,0.0004427538201595896,0.0004427538201595896,,71.92033756718735,71.92033756718735,,2.7250245442125146e-09,2.7250245442125146e-09,85.20364639648537,1.1841524064628677,1.1841524064628677,71.0,1795.0,1795.0,0.0,162166.0
2,64,32,6.162917054469024e-06,6.162917054469024e-06,0.0004426930392815538,0.0004426930392815538,,71.8477271456542,71.8477271456542,,2.728134374127514e-09,2.728134374127514e-09,85.07140399360836,1.18431511820399,1.18431511820399,72.0,1795.0,1795.0,0.0,162239.0
2,64,64,6.2025905087452285e-06,6.2025905087452285e-06,0.0004510462773522293,0.0004510462773522293,,72.67569204546137,72.67569204546137,,2.7993239002992907e-09,2.7993239002992907e-09,84.52726329600372,1.1623818472610266,1.1623818472610266,75.0,1795.0,1795.0,0.0,160316.0
2,128,1,4.036669470142977e-05,4.036669470142977e-05,0.0029547203532380153,0.0029547203532380153,,73.23133565076063,73.23133565076063,,1.192758468707485e-07,1.192758468707485e-07,103.90507901369071,1.4195267470940198,1.4195267470940198,73.0,1795.0,1795.0,0.0,24969.0
