STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[STREAM] N=1000000 threads=1 rep=7 batches=2137 time=1.001 s | package=48.315 J | dram=0.001928 | total=48.317 J | power=48.3 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=8 batches=2137 time=1.000 s | package=47.198 J | dram=0.001545 | total=47.199 J | power=47.2 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=9 batches=2137 time=1.001 s | package=47.242 J | dram=0.003443 | total=47.246 J | power=47.2 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=10 batches=2137 time=1.001 s | package=47.274 J | dram=0.001698 | total=47.275 J | power=47.2 W | runtime=in_range | checksum=OK
[OpenMP] requested=10 active=10
[STREAM] N=16000000 threads=10 rep=1 batches=145 time=1.004 s | package=118.255 J | dram=2.213634 | total=120.469 J | power=120.0 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=2 batches=145 time=1.004 s | package=118.493 J | dram=2.210774 | total=120.703 J | power=120.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=3 batches=145 time=1.004 s | package=118.741 J | dram=2.203430 | total=120.945 J | power=120.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=4 batches=145 time=1.004 s | package=118.979 J | dram=2.210131 | total=121.189 J | power=120.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=5 batches=145 time=1.005 s | package=118.466 J | dram=2.206000 | total=120.672 J | power=120.1 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=6 batches=145 time=1.004 s | package=118.445 J | dram=2.209381 | total=120.655 J | power=120.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=7 batches=145 time=1.004 s | package=118.387 J | dram=2.212809 | total=120.600 J | power=120.1 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=8 batches=145 time=1.004 s | package=118.017 J | dram=2.233387 | total=120.250 J | power=119.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=9 batches=145 time=1.004 s | package=118.863 J | dram=2.229944 | total=121.093 J | power=120.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=10 batches=145 time=1.004 s | package=118.879 J | dram=2.218883 | total=121.098 J | power=120.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=4000000 threads=16 rep=1 batches=778 time=1.001 s | package=115.045 J | dram=2.281474 | total=117.326 J | power=117.2 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=2 batches=778 time=1.001 s | package=114.422 J | dram=2.288283 | total=116.710 J | power=116.6 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=3 batches=778 time=1.001 s | package=114.383 J | dram=2.287335 | total=116.671 J | power=116.5 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=4 batches=778 time=1.001 s | package=114.677 J | dram=2.298412 | total=116.975 J | power=116.8 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=5 batches=778 time=1.002 s | package=114.624 J | dram=2.306537 | total=116.931 J | power=116.8 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=6 batches=778 time=1.001 s | package=114.102 J | dram=2.348718 | total=116.450 J | power=116.3 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=7 batches=778 time=1.001 s | package=114.335 J | dram=2.318944 | total=116.654 J | power=116.5 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=8 batches=778 time=1.002 s | package=114.556 J | dram=2.315135 | total=116.871 J | power=116.7 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=9 batches=778 time=1.002 s | package=114.942 J | dram=2.330511 | total=117.272 J | power=117.0 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=16 rep=10 batches=778 time=1.001 s | package=114.453 J | dram=2.331598 | total=116.785 J | power=116.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=4 active=4
[STREAM] N=32000000 threads=4 rep=1 batches=73 time=1.004 s | package=76.792 J | dram=1.759867 | total=78.552 J | power=78.2 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=2 batches=73 time=1.004 s | package=75.880 J | dram=1.797168 | total=77.677 J | power=77.4 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=3 batches=73 time=1.003 s | package=76.540 J | dram=1.791002 | total=78.331 J | power=78.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=4 batches=73 time=1.003 s | package=76.343 J | dram=1.777829 | total=78.120 J | power=77.8 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=5 batches=73 time=1.003 s | package=76.450 J | dram=1.764672 | total=78.214 J | power=78.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=6 batches=73 time=1.004 s | package=75.659 J | dram=1.778625 | total=77.437 J | power=77.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=7 batches=73 time=1.003 s | package=76.527 J | dram=1.768328 | total=78.296 J | power=78.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=8 batches=73 time=1.003 s | package=76.498 J | dram=1.748377 | total=78.246 J | power=78.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=9 batches=73 time=1.003 s | package=75.216 J | dram=1.750993 | total=76.967 J | power=76.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=10 batches=73 time=1.003 s | package=75.879 J | dram=1.722061 | total=77.601 J | power=77.4 W | runtime=in_range | checksum=OK
[OpenMP] requested=20 active=20
[STREAM] N=4000000 threads=20 rep=1 batches=730 time=1.000 s | package=118.066 J | dram=2.324208 | total=120.390 J | power=120.4 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=2 batches=730 time=1.013 s | package=120.123 J | dram=2.338024 | total=122.461 J | power=120.9 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=3 batches=730 time=1.000 s | package=117.638 J | dram=2.346454 | total=119.984 J | power=120.0 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=4 batches=730 time=1.000 s | package=118.787 J | dram=2.360683 | total=121.148 J | power=121.2 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=5 batches=730 time=1.000 s | package=118.664 J | dram=2.376381 | total=121.040 J | power=121.0 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=6 batches=730 time=1.000 s | package=118.239 J | dram=2.366482 | total=120.605 J | power=120.6 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=7 batches=730 time=1.000 s | package=118.596 J | dram=2.347846 | total=120.944 J | power=120.9 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=8 batches=730 time=1.001 s | package=118.095 J | dram=2.366971 | total=120.462 J | power=120.3 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=9 batches=730 time=1.000 s | package=118.256 J | dram=2.348366 | total=120.604 J | power=120.6 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=20 rep=10 batches=730 time=1.000 s | package=118.855 J | dram=2.358112 | total=121.213 J | power=121.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=10 active=10
[STREAM] N=32000000 threads=10 rep=1 batches=71 time=1.011 s | package=120.140 J | dram=2.154363 | total=122.295 J | power=120.9 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=2 batches=71 time=1.012 s | package=122.101 J | dram=2.175354 | total=124.276 J | power=122.8 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=3 batches=71 time=1.012 s | package=122.005 J | dram=2.159886 | total=124.165 J | power=122.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=4 batches=71 time=1.012 s | package=120.041 J | dram=2.153214 | total=122.194 J | power=120.8 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=5 batches=71 time=1.012 s | package=121.092 J | dram=2.163251 | total=123.256 J | power=121.8 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=6 batches=71 time=1.012 s | package=118.995 J | dram=2.182071 | total=121.178 J | power=119.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=7 batches=71 time=1.012 s | package=121.793 J | dram=2.198075 | total=123.991 J | power=122.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=8 batches=71 time=1.012 s | package=120.395 J | dram=2.161875 | total=122.557 J | power=121.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=9 batches=71 time=1.012 s | package=120.596 J | dram=2.139751 | total=122.736 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=10 rep=10 batches=71 time=1.011 s | package=120.796 J | dram=2.134549 | total=122.931 J | power=121.5 W | runtime=in_range | checksum=OK
[OpenMP] requested=20 active=20
