problem_size,objective,platform,configuration,value,best_value,penalty_vs_global_best_pct
5,throughput,INTEL,10T,1195.5705709724048,15957.68054811591,1234.7334683168806
6,edp,3090,gpu_resident,0.0001888588882384,0.0001888588882384,0.0
6,edp,5060ti,gpu_resident,0.0002658100575788,0.0001888588882384,40.7453258134524
6,edp,AMD,64T,0.0081720083071273,0.0001888588882384,4227.044590462498
6,edp,INTEL,20T,0.0156355400169085,0.0001888588882384,8178.953753646731
6,energy,3090,gpu_resident,0.2526645894428152,0.2179719512195121,15.916102062308624
6,energy,5060ti,gpu_resident,0.2179719512195121,0.2179719512195121,0.0
6,energy,AMD,64T,1.4056095578034682,0.2179719512195121,544.8579966088971
6,energy,INTEL,10T,1.5926298834951456,0.2179719512195121,630.6581762399614
6,energy_efficiency,3090,gpu_resident,52.05854039199496,60.34421046079196,15.916062967587719
6,energy_efficiency,5060ti,gpu_resident,60.34421046079196,60.34421046079196,0.0
6,energy_efficiency,AMD,64T,9.357746947983136,60.34421046079196,544.8583275036934
6,energy_efficiency,INTEL,10T,8.258879362860139,60.34421046079196,630.6585773871155
6,runtime,3090,gpu_resident,0.0007474163896627,0.0007474163896627,0.0
6,runtime,5060ti,gpu_resident,0.0012177912001216,0.0007474163896627,62.93343536006408
6,runtime,AMD,32T,0.0057522896522988,0.0007474163896627,669.6231621164661
6,runtime,INTEL,20T,0.0096999421826923,0.0007474163896627,1197.7962909095113
6,throughput,3090,gpu_resident,17598.406358241613,17598.406358241613,0.0
6,throughput,5060ti,gpu_resident,10800.979324698306,17598.406358241613,62.93343250828944
6,throughput,AMD,32T,2286.6263969846214,17598.406358241613,669.6231610659557
6,throughput,INTEL,20T,1356.0222445206996,17598.406358241613,1197.7962883243083
