STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[STREAM] N=32000000 threads=1 rep=10 batches=55 time=1.003 s | package=74.405 J | dram=NA | total=74.405 J | power=74.2 W | runtime=in_range | checksum=OK
[OpenMP] requested=8 active=8
[STREAM] N=256000000 threads=8 rep=1 batches=14 time=1.041 s | package=107.704 J | dram=NA | total=107.704 J | power=103.5 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=2 batches=14 time=1.042 s | package=107.875 J | dram=NA | total=107.875 J | power=103.6 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=3 batches=14 time=1.042 s | package=107.828 J | dram=NA | total=107.828 J | power=103.5 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=4 batches=14 time=1.041 s | package=108.056 J | dram=NA | total=108.056 J | power=103.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=5 batches=14 time=1.042 s | package=107.947 J | dram=NA | total=107.947 J | power=103.6 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=6 batches=14 time=1.041 s | package=108.057 J | dram=NA | total=108.057 J | power=103.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=7 batches=14 time=1.042 s | package=108.161 J | dram=NA | total=108.161 J | power=103.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=8 batches=14 time=1.042 s | package=108.082 J | dram=NA | total=108.082 J | power=103.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=9 batches=14 time=1.041 s | package=108.147 J | dram=NA | total=108.147 J | power=103.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=8 rep=10 batches=14 time=1.042 s | package=108.125 J | dram=NA | total=108.125 J | power=103.8 W | runtime=in_range | checksum=OK
[OpenMP] requested=32 active=32
[STREAM] N=256000000 threads=32 rep=1 batches=13 time=1.006 s | package=154.558 J | dram=NA | total=154.558 J | power=153.6 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=2 batches=13 time=1.006 s | package=154.605 J | dram=NA | total=154.605 J | power=153.6 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=3 batches=13 time=1.006 s | package=154.655 J | dram=NA | total=154.655 J | power=153.7 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=4 batches=13 time=1.007 s | package=154.801 J | dram=NA | total=154.801 J | power=153.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=5 batches=13 time=1.007 s | package=155.084 J | dram=NA | total=155.084 J | power=154.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=6 batches=13 time=1.006 s | package=155.111 J | dram=NA | total=155.111 J | power=154.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=7 batches=13 time=1.006 s | package=155.027 J | dram=NA | total=155.027 J | power=154.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=8 batches=13 time=1.006 s | package=155.191 J | dram=NA | total=155.191 J | power=154.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=9 batches=13 time=1.007 s | package=155.333 J | dram=NA | total=155.333 J | power=154.3 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=32 rep=10 batches=13 time=1.006 s | package=155.290 J | dram=NA | total=155.290 J | power=154.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=64 active=64
[STREAM] N=128000000 threads=64 rep=1 batches=26 time=1.024 s | package=163.728 J | dram=NA | total=163.728 J | power=159.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=2 batches=26 time=1.025 s | package=163.888 J | dram=NA | total=163.888 J | power=159.8 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=3 batches=26 time=1.025 s | package=163.903 J | dram=NA | total=163.903 J | power=159.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=4 batches=26 time=1.025 s | package=163.951 J | dram=NA | total=163.951 J | power=159.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=64 rep=5 batches=26 time=1.025 s | package=163.969 J | dram=NA | total=163.969 J | power=160.0 W | runtime=in_range | checksum=OK
