setup_id,cpu_type,N,mode,gpu_name,pcie_gen_current,threads,impl,dtype,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,gflops_median,joule_per_gflop_median,bw_gb_s_median,n_measurements,workload,source_file
Intel_CPU-only_4t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,4,openblas,fp32,5.505e-07,2.2357e-06,0.09167,4.702e-07,0.0783099722,5.6e-08,1.318e-07,0.00933,3.114e-07,0.0518570417,8.503e-07,4.7482e-06,0.14161,5.705e-07,0.0950131389,6.004861111111111e-06,0.628,0.0,,4.48,190,REDUCTION,reduction_intel_cpu_4.csv
Intel_CPU-only_4t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,4,openblas,fp32,9.168e-07,3.7233e-06,0.09167,7.831e-07,0.0783099722,9.33e-08,2.195e-07,0.00933,5.186e-07,0.0518570417,1.4162e-06,7.9076e-06,0.14161,9.502e-07,0.0950131389,1.0000555555555555e-05,1.0499,,,16.27,190,REDUCTION,reduction_intel_cpu_4.csv
Intel_CPU-only_8t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,8,openblas,fp32,5.456e-07,2.216e-06,0.09167,4.661e-07,0.0783099722,5.55e-08,1.306e-07,0.00933,3.087e-07,0.0518570417,8.429e-07,4.7063e-06,0.14161,5.655e-07,0.0950131389,5.9519444444444445e-06,0.6091,0.0,,4.46,190,REDUCTION,reduction_intel_cpu_8.csv
Intel_CPU-only_8t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,8,openblas,fp32,9.148e-07,3.7154e-06,0.09167,7.815e-07,0.0783099722,9.31e-08,2.19e-07,0.00933,5.175e-07,0.0518570417,1.4132e-06,7.8909e-06,0.14161,9.482e-07,0.0950131389,9.979444444444444e-06,1.0512,,,16.25,190,REDUCTION,reduction_intel_cpu_8.csv
Intel_CPU-only_10t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,10,openblas,fp32,6.576e-07,2.459e-06,0.10974,4.693e-07,0.0783099722,1.397e-07,1.309e-07,0.02332,3.108e-07,0.0518570417,1.156e-06,4.9049e-06,0.1929,5.694e-07,0.0950131389,5.992638888888889e-06,0.6168,0.0,,4.46,190,REDUCTION,reduction_intel_cpu_10.csv
Intel_CPU-only_10t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,10,openblas,fp32,1.0947e-06,4.0932e-06,0.10974,7.812e-07,0.0783099722,2.326e-07,2.179e-07,0.02332,5.173e-07,0.0518570417,1.9243e-06,8.1647e-06,0.1929,9.478e-07,0.0950131389,9.975416666666666e-06,1.0508,,,16.25,190,REDUCTION,reduction_intel_cpu_10.csv
Intel_CPU-only_16t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,16,openblas,fp32,6.55e-07,2.4492e-06,0.10974,4.674e-07,0.0783099722,1.392e-07,1.304e-07,0.02332,3.095e-07,0.0518570417,1.1514e-06,4.8854e-06,0.1929,5.671e-07,0.0950131389,5.968888888888889e-06,0.6325,0.0,,4.46,190,REDUCTION,reduction_intel_cpu_16.csv
Intel_CPU-only_16t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,16,openblas,fp32,1.0984e-06,4.1069e-06,0.10974,7.838e-07,0.0783099722,2.334e-07,2.186e-07,0.02332,5.19e-07,0.0518570417,1.9307e-06,8.1921e-06,0.1929,9.51e-07,0.0950131389,1.000888888888889e-05,1.0507,,,16.25,190,REDUCTION,reduction_intel_cpu_16.csv
Intel_CPU-only_20t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,20,openblas,fp32,8.657e-07,2.7148e-06,0.14519,4.679e-07,0.0783099722,3.751e-07,1.322e-07,0.06291,3.099e-07,0.0518570417,1.4814e-06,5.0312e-06,0.24847,5.678e-07,0.0950131389,5.975555555555555e-06,0.6264,0.0,,4.46,190,REDUCTION,reduction_intel_cpu_20.csv
Intel_CPU-only_20t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,20,openblas,fp32,1.4511e-06,4.5508e-06,0.14519,7.827e-07,0.0783099722,6.288e-07,2.211e-07,0.06291,5.183e-07,0.0518570417,2.4834e-06,8.4231e-06,0.24847,9.496e-07,0.0950131389,9.994583333333334e-06,1.0504,,,16.25,190,REDUCTION,reduction_intel_cpu_20.csv
Intel_3090_PCIe3,Intel,0,e2e,NVIDIA GeForce RTX 3090,3.0,,cublas,fp32,4.408e-06,1.84862e-05,0.085,4.0743e-06,0.0783099722,4.3803e-06,1.1906e-06,0.08451,2.698e-06,0.0518570417,4.6903e-06,3.7551e-05,0.09006,4.9434e-06,0.0950131389,5.2028472222222226e-05,1.052,0.0,,12.01,190,REDUCTION,reduction_3090_on_intel_pciv3.csv
Intel_3090_PCIe3,Intel,0,kernel,NVIDIA GeForce RTX 3090,3.0,,cublas,fp32,8.0726e-06,3.38436e-05,0.085,7.4512e-06,0.0783099722,8.0192e-06,2.1786e-06,0.08451,4.9342e-06,0.0518570417,8.5971e-06,6.86812e-05,0.09006,9.0406e-06,0.0950131389,9.515055555555556e-05,1.0296,,,866.295,190,REDUCTION,reduction_3090_on_intel_pciv3.csv
Intel_5050_PCIe3,Intel,0,e2e,NVIDIA GeForce RTX 5050,3.0,,cublas,fp32,1.2927e-06,4.9849e-06,0.08041,1.2679e-06,0.0783099722,8.763e-07,3.584e-07,0.0539,8.396e-07,0.0518570417,1.5971e-06,1.14516e-05,0.09831,1.5383e-06,0.0950131389,1.6190833333333334e-05,1.0625,0.0,,6.6,190,REDUCTION,reduction_5050_on_intel_pciv3.csv
Intel_5050_PCIe3,Intel,0,kernel,NVIDIA GeForce RTX 5050,3.0,,cublas,fp32,1.9441e-06,7.5182e-06,0.08041,1.9016e-06,0.0783099722,1.3254e-06,5.388e-07,0.0539,1.2592e-06,0.0518570417,2.4004e-06,1.7214e-05,0.09831,2.3072e-06,0.0950131389,2.428263888888889e-05,1.0434,,,301.0,190,REDUCTION,reduction_5050_on_intel_pciv3.csv
