session_number,problem_size,num_threads,runtime_per_op_s,time_per_op_ms_e2e,package_energy_per_op_j,package_avg_power_w,gflops_per_s,edp_package_j_s,temp_c,sm_clock_mhz,batches
2,1024,2,0.005938758928571429,5.9387574999999995,0.4798575327380952,80.83820400354148,361.605,0.0028507825795150935,99.0,,168.0
2,1024,4,0.003219199685534591,3.2191989999999997,0.3505933883647799,108.94600447810856,667.085,0.00112822633242036,99.0,,318.0
2,1024,8,0.0018205880872483222,1.8205879999999999,0.2641295251677852,144.6669084498836,1179.555,0.0004808574530265036,99.5,,596.0
2,1024,10,0.001976140625,1.9761405,0.3068611470588235,155.25072958808101,1086.705,0.0006061756796560405,99.0,,544.0
2,1024,16,0.0022961856492027333,2.296186,0.34047797722095674,148.18648473419836,935.24,0.0007815874718400096,100.0,,439.0
2,1024,20,0.002050369696969697,2.0503704999999997,0.3323955616161616,162.0303132806541,1047.365,0.0006817499217983409,100.0,,495.0
2,2048,1,0.08811604166666667,88.1160715,5.885930583333334,66.77544716032776,194.97,0.5188513699288333,99.0,,12.0
2,2048,2,0.04683475,46.8347415,3.947028,84.33358456068012,366.82,0.18463124135492354,98.5,,22.0
2,2048,4,0.02524639024390244,25.246389,2.75826693902439,109.07764181637191,680.49,0.06963355532248303,99.0,,41.0
2,2048,8,0.01526546212121212,15.265465500000001,2.01806031060606,132.45167616250615,1125.4099999999999,0.030804328516677797,100.0,,66.0
2,2048,10,0.014923443661971831,14.9234405,2.315979943661972,155.02465234511334,1151.1999999999998,0.034555370019927895,100.0,,71.0
2,2048,16,0.015665848484848484,15.6658465,2.6177717272727277,167.14991649431266,1096.645,0.04101551243459401,100.0,,66.0
2,2048,20,0.02797811111111111,27.978113999999998,4.449011541666666,159.08396804623098,614.05,0.12451811975157676,100.0,,36.0
2,4096,1,0.68477575,684.7756715,43.835337249999995,64.02302006346443,200.70499999999998,30.0132218758895,98.0,,2.0
2,4096,2,0.3691053333333333,369.1053505,30.241306666666667,82.00722859783409,372.355,11.138309493553276,99.0,,3.0
2,4096,4,0.19638391666666666,196.3839175,21.451971416666666,109.43843491532849,699.8499999999999,4.2106200980870145,99.0,,6.0
2,4096,8,0.11760133333333334,117.6013015,16.589821611111113,141.29016916898885,1168.685,1.9505577124564937,99.5,,9.0
2,4096,10,0.1063178,106.317829,16.671954399999997,156.87327042388887,1292.74,1.7668649133189154,100.0,,10.0
2,4096,16,0.139792125,139.7921555,22.459014625000002,160.63436781272844,983.165,3.140054869899015,100.0,,8.0
2,4096,20,0.17990041666666667,179.900468,28.261025916666668,156.9116956341568,763.9749999999999,5.085027350117472,100.0,,6.0
2,8192,1,5.345556,5345.5557195,366.354805,68.53386841055394,205.685,1941.298385943816,98.5,,1.0
2,8192,2,2.8184195,2818.4191995,239.9031025,85.07623211130255,390.12,675.178316454772,99.0,,1.0
2,8192,4,1.4417645000000001,1441.7647505,161.12269550000002,111.85973440805722,762.615,231.80209800464402,99.0,,1.0
2,8192,8,0.870411,870.4111640000001,127.886437,146.77398899650458,1263.21,111.20864903704475,99.0,,2.0
2,8192,10,0.755188,755.1878925,132.177335,175.12012066637885,1455.9450000000002,99.85258643626275,100.0,,2.0
2,8192,16,1.00594725,1005.947221,171.52664525,170.78510021017604,1093.0149999999999,172.7403712151899,99.0,,2.0
2,8192,20,1.1751855,1175.1851055000002,193.6207195,164.79003327536748,935.605,227.2015645496445,100.0,,1.0
2,16384,1,39.458341000000004,39458.340832500005,2260.6206775,57.15541361137038,222.92,89414.77754460741,96.0,,1.0
2,16384,2,21.772413,21772.412609,1915.1377665,87.7668300246121,404.005,41695.095138320365,99.0,,1.0
2,16384,4,12.2375155,12237.5157375,1337.0027420000001,109.38361015616076,718.785,16366.114371364212,99.0,,1.0
2,16384,8,7.112654,7112.6539219999995,1081.9571905,152.20984376303664,1236.685,7727.119721761852,99.5,,1.0
2,16384,10,6.8562955,6856.2958825000005,1088.0854405,158.6668386510782,1282.92,7437.619499021732,99.0,,1.0
2,16384,16,8.212121,8212.1209015,1288.981197,156.78284472427745,1071.115,10536.70145337527,99.0,,1.0
2,16384,20,9.059704,9059.7036365,1503.7588150000001,166.42138849280076,970.905,13583.757813959219,99.0,,1.0
3,64,1,2.2153501900987077e-06,0.002215,0.00011105745828825877,49.96518341379625,236.66,2.4818506690621315e-10,85.0,,445558.0
3,64,2,2.2132106011218072e-06,0.002213,0.00011003242345303161,49.509593470456196,236.89,2.4634228030416085e-10,85.0,,446066.0
3,64,4,2.229277824035526e-06,0.0022294999999999997,0.00011400917901748543,51.077097880830664,235.18,2.5404000381606684e-10,85.0,,450375.0
3,64,8,2.3921012009730126e-06,0.002392,0.0001555235666461168,64.86477030723665,219.175,3.7202944448912903e-10,99.0,,418494.0
3,64,10,2.2824659460891084e-06,0.0022825,0.00013009044093136246,57.03151408365595,229.70499999999998,2.9674011408592975e-10,97.0,,437982.0
3,64,16,2.2332269437247935e-06,0.0022335000000000002,0.00011148201058554347,49.70569831707233,234.765,2.489618692250309e-10,83.0,,449292.0
3,64,20,2.247698617279887e-06,0.0022475000000000004,0.0001184978682045545,52.9640061863159,233.255,2.663462525163272e-10,90.5,,449621.0
3,128,1,2.7438526367134575e-05,0.027438499999999998,0.0016445270581540296,59.95393782790958,152.865,4.506482591140831e-08,98.5,,36902.0
3,128,2,2.1558509380842877e-05,0.0215585,0.0014704370527175432,68.17186073158211,194.555,3.168928364484926e-08,90.0,,46531.0
