platform,platform_label,device_kind,energy_domain,session_number,problem_size,num_threads,configuration,runtime_per_op_s,total_energy_per_op_j,edp_total_j_s,throughput_gflops,energy_efficiency_gflop_per_j,avg_power_w,temp_c,sm_clock_mhz
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,10,10T,0.006180448168711656,0.9405640674846626,0.00581729328588258,1222.0623446743514,8.03017417172986,150.12265332733512,86.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,16,16T,0.006889208424657534,1.0127330958904108,0.006980163047324369,1096.336830382099,7.457930589791078,145.19142327161254,79.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,20,20T,0.006312657883647798,1.0498521855345913,0.006627393738776403,1196.467964513292,7.194244171400139,164.05343612281575,96.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,1,1T,0.0656712705625,3.61384284375,0.2374100873445823,200.2905879754792,3.639716306189566,54.98725244313805,98.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,2,2T,0.034652713933333336,2.619541816666666,0.09078952252741909,379.5782507884911,5.021239261225148,75.41476274085598,94.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,4,4T,0.018785262735849056,2.1115449150943397,0.03968976577375951,700.1944837834237,6.229249165326635,111.68273724409029,97.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,8,8T,0.010514707380208332,1.612383041666667,0.016964357633931157,1250.9465903268517,8.157700131998155,151.80385206125237,98.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,10,10T,0.009843736480392157,1.418371480392157,0.013965260930851743,1336.213883404425,9.273551000733,142.45030734965792,75.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,16,16T,0.011345421528089887,1.604534651685393,0.01820484807556963,1159.3520211365694,8.1976028502721,140.00970878585943,86.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,6,20,20T,0.009657312264423078,1.5251115673076923,0.014738163547283597,1362.0080912651879,8.624508671200996,156.18698898158786,86.0,-1.0
